IsBeHitBreakable-bool,IsIndependentLogic-bool,accuBreakable-bool,accuTime-int,attackCanMove-bool,effectEnemy-int[],effectForward-int[],forwardReleaseTime-int,id-int,isAutoUse-bool,isCheckHit-bool,isHoldSkill-bool,isReleastActLoop-bool,isRemote-bool,playProgress-bool,rangeTips-bool,releaseAct-string,releaseEff-string,releaseSound-string[],releaseSpd-int,releaseTime-int,skillCD-int,skillDesc-string,skillDistance-int,skillFlag-int[],skillName-string,skillRange-int[],skillShake-string[],targetFlag-int[],targetLock-bool,targetType-int[],homeAction-int[],homeAttRate-int,effectSelf-int[],skillIcon-string,hitEff-string,animRotate-int,skillAlertEffect-string,skillFlyerId-int,skillFlyerNum-int,accuEff-int,effectInit-int[],composeSkill-int[],costPropType-int[],maxAccuTime-int,accuTab-string
0,0,0,0,0,"1,239",214,150,14,0,1,0,0,0,0,1,skill_attack1,Skill_punch_attack1,Punch,14,550,-1,Attaque à mains nues - Mouvement 1. ,350,2,Attaque à mains nues,"4,300,150,16000",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"15,239",214,150,15,0,1,0,0,0,0,1,skill_attack2,Skill_punch_attack2,Punch,14,550,-1,Attaque à mains nues - Mouvement 2. ,350,2,Attaque à mains nues,"4,300,150,16000",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"21,227,386",214,150,16,0,1,0,0,0,0,1,skill_attack3,Skill_punch_attack3,Punch2,14,550,-1,Attaque à mains nues - Mouvement 3. ,350,2,Attaque à mains nues,"4,300,150,16000",CameraShakeGrade_2,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"239,385",31,150,17,0,1,0,0,0,0,1,skill_sword_attack1,skill_sword_attack1,knife01,14,620,-1,Attaque à l'épée - Mouvement 1. ,400,2,attaque à l'épée,"4,300,300,27000",CameraShakeGrade_1,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,"15,239",31,150,18,0,1,0,0,0,0,1,skill_sword_attack2,skill_sword_attack2,knife02,14,620,-1,Attaque à l'épée - Mouvement 2. ,400,2,attaque à l'épée,"4,300,300,27000",CameraShakeGrade_1,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,"21,227,386",31,150,19,0,1,0,0,0,0,1,skill_sword_attack3,skill_sword_attack3,knife03,14,670,-1,Attaque à l'épée - Mouvement 3. ,400,2,attaque à l'épée,"4,300,300,27000",CameraShakeGrade_2,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,,18,0,20,0,1,0,0,0,0,0,jump_roll,,playerroll,,400,2000,Roulez rapidement pour esquiver les attaques entrantes ou vous déplacer rapidement. ,,2,Terres agricoles du groupe Lv 3,"1,100,500,100",,1,0,1,,,19,skill-icon-20,,,,,,,,,,,
0,0,0,0,0,15,,300,21,0,1,0,0,0,0,0,normal_chudi,,ranged_RPG_attack2_audio,37,500,-1,Utilisez un binage simple pour une attaque normale contre un ennemi ciblé. ,,2,Arrosage individuel,,,1,0,1,1,1000,,,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,419,,0,22,0,1,1,1,0,0,0,ranged_RPG_attack5,Skill_watering,ranged_RPG_attack5_audio,,0,-1,Arrosez une plante individuelle avec une quantité normale d'eau. ,,2,Arrosage groupe Lv 1,,,1,0,1,3,1000,,,,,,,,,,,,,
0,0,0,0,0,,,280,23,0,1,0,0,0,0,0,A-bozhong-NEW,Skill_seeding,A-bozhong-NEW_audio,,400,-1,Semez une seule graine de manière précise et efficace. ,,2,Arrosage groupe Lv 2,,,1,0,1,2,,,,skill_tree_hurt,,,,,,,,,,
0,0,0,0,0,,,280,24,0,1,0,0,0,0,0,ranged_RPG_reload,Skill_fertilize,playerroll,,400,-1,Appliquez une seule dose d'engrais pour favoriser la croissance des plantes. ,,2,semis unique,,,1,0,1,4,,,,skill_tree_hurt,,,,,,,,,,
