canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,refreshRatio-int[],respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],name-string,punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],seedMaxLimit-int[]
0,0,10001,0,"0,999",HomeSceneLoading.jpg,"4000,4000,4000,4000,4000,4000,4000,4000,4000,4000",0,0,WorldScene,1,1,0,1850,,,,,,,,,,,,"Kosong
",,Kosong,"Kosong
",,,,,
0,0,10002,0,"0,999",HomeSceneLoading.jpg,,0,0,HomeScene,1,2,0,10000,3,,,,,,,,,,,"Kosong
",,Kosong,"Kosong
",,,,,
0,0,10003,0,"0,999",HomeSceneLoading.jpg,,0,0,WorldScene02,1,1,0,10000,,,,,,,,,,,,Kosong,,Kosong,"Kosong
",,,,,
0,160,20000,1,"1,4",DungeonSceneLoading_1_3.jpg,,0,5,DungeonSceneLv1-3,1,3,2,10000,1,"10000,20000,30000","55,0,54",2,"58,59,60","16,17;16,17;16,17","61,62,63","30,80,160","3500,13500;3500,13500;3500,13500","450,450,450","Chapter 1/3,Chapter 2/3,Chapter 3/3","Terletak di dalam dedaunan lebat hutan, ia seperti satu keajaiban di bumi. Puncak batuannya menyerupai barisan bilah pedang yang tajam, namun juga menyerupai kelopak bunga.
",185,Puncak Bunga," Apabila anda mati, terdapat peluang untuk menjatuhkan item dalam beg anda.
",0;0;0,"0,1440","468,1",,
0,40,20001,1,"4,7",DungeonSceneLoading_4_6.jpg,,0,5,DungeonSceneLv4-6,1,3,2,10000,1,"10000,20000,30000","37,39,38",2,"52,53,54","16,17;16,17;16,17","47,48,49","320,640,1280","3500,13500;3500,13500;3500,13500","600,600,600","Chapter 1/3,Chapter 2/3,Chapter 3/3","Di dalam kawasan yang hancur itu, sebuah benteng gelap berdiri dengan bangga, tepi-tepinya tergantung di tengah hampa, tanpa sokongan fizikal. Ia dipenuhi dengan banyak monster berbahaya, menumbuhkan banyak koleksi langka yang belum pernah dilihat sebelum ini.
Pasukan yang",186,Alam Terapung," Apabila anda mati, terdapat peluang untuk menjatuhkan item dalam beg anda.
",0;0;0,"0,1440","467,1",,
0,10,20002,1,"7,9",DungeonSceneLoading_7_9.jpg,,0,5,DungeonSCeneLv7-9,1,3,2,10000,1,"10000,20000,30000","61,71,66",2,"82,83,84","16,17;16,17;16,17","85,86,87","2560,5120,10240","3500,13500;3500,13500;3500,13500","750,750,750","Chapter 1/3,Chapter 2/3,Chapter 3/3","Bertempur melawan makhluk berapi; berjuang dalam persekitaran gelap dan menyeramkan, melindungi diri daripada serangan makhluk kekosongan; menyelami reruntuhan kuno untuk menggali rahsia dan harta yang tersembunyi di dalamnya. Petualang yang berani, adakah anda bersedia menghadapi cabaran ini?
",187,Domain Purba," Apabila anda mati, terdapat peluang untuk menjatuhkan item dalam beg anda.
",0;0;0,"0,1440","658,1",,
1,0,21001,0,"2,4",DungeonSceneLoading_7_9.jpg,,1,5,PVPDungeonSceneLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","## Ganjaran
- **Mengalahkan Raksasa atau Mengumpul**: Pemain akan menerima ganjaran **Token** yang dilaburkan oleh totem.
- **Menghapuskan Pemain Lain**: Pemain boleh menuntut ganjaran **LUASUD** yang belum diselesaikan daripada musuh yang dikalahkan.
- **Mengalahkan Bos**: Pemain boleh mendapatkan **bahan-bahan istimewa yang misteri** yang penting untuk kemajuan permainan.
## Gambaran Peraturan
- **Struktur Tahap**: Dungeon terdiri daripada **3 tahap yang kacau**, setiap satu menawarkan cabaran tersendiri.
- **Kawasan Selamat**: Terdapat **kawasan selamat** dalam tahap-tahap tersebut, yang akan **mengecil dari masa ke semasa**, memaksa pemain berhadapan.
- **Tiga Jenis Pintu**:
  - **Pintu Cabaran**: Untuk yang berani, pintu ini membawa ke tahap petualangan seterusnya.
  - **Pintu Larian**: Keluar dari dungeon dan menyerah apa-apa ganjaran **Token** yang belum diselesaikan.
  - **Pintu Penyelesaian**: Menyelesaikan dan mengumpul ganjaran **Token** pada nisbah tertentu.
",172,Arena Junior," Apabila anda mati, terdapat peluang untuk menjatuhkan item dalam beg anda.
",0;0,"0,0","659,1","8,24",
1,0,21002,0,"5,7",PVPDungeonSceneLoading_4_6.jpg,,1,5,PVPDungeonSceneLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","## Ganjaran
- **Mengalahkan Raksasa atau Mengumpul**: Pemain akan menerima ganjaran **Token** yang dilaburkan oleh totem.
- **Menghapuskan Pemain Lain**: Pemain boleh menuntut ganjaran **LUASUD** yang belum diselesaikan daripada musuh yang dikalahkan.
- **Mengalahkan Bos**: Pemain boleh mendapatkan **bahan-bahan istimewa yang misteri** yang penting untuk kemajuan permainan.
## Gambaran Peraturan
- **Struktur Tahap**: Dungeon terdiri daripada **3 tahap yang kacau**, setiap satu menawarkan cabaran tersendiri.
- **Kawasan Selamat**: Terdapat **kawasan selamat** dalam tahap-tahap tersebut, yang akan **mengecil dari masa ke semasa**, memaksa pemain berhadapan.
- **Tiga Jenis Pintu**:
  - **Pintu Cabaran**: Untuk yang berani, pintu ini membawa ke tahap petualangan seterusnya.
  - **Pintu Larian**: Keluar dari dungeon dan menyerah apa-apa ganjaran **Token** yang belum diselesaikan.
  - **Pintu Penyelesaian**: Menyelesaikan dan mengumpul ganjaran **Token** pada nisbah tertentu.
",173,Arena Pertengahan," Apabila anda mati, terdapat peluang untuk menjatuhkan item dalam beg anda.
",0;0,"0,0","660,1","8,24",
1,0,21003,0,"8,9",PVPDungeonSceneLoading_4_6.jpg,,1,5,PVPDungeonSceneLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","## Ganjaran
- **Mengalahkan Raksasa atau Mengumpul**: Pemain akan menerima ganjaran **Token** yang dilaburkan oleh totem.
- **Menghapuskan Pemain Lain**: Pemain boleh menuntut ganjaran **LUASUD** yang belum diselesaikan daripada musuh yang dikalahkan.
- **Mengalahkan Bos**: Pemain boleh mendapatkan **bahan-bahan istimewa yang misteri** yang penting untuk kemajuan permainan.
## Gambaran Peraturan
- **Struktur Tahap**: Dungeon terdiri daripada **3 tahap yang kacau**, setiap satu menawarkan cabaran tersendiri.
- **Kawasan Selamat**: Terdapat **kawasan selamat** dalam tahap-tahap tersebut, yang akan **mengecil dari masa ke semasa**, memaksa pemain berhadapan.
- **Tiga Jenis Pintu**:
  - **Pintu Cabaran**: Untuk yang berani, pintu ini membawa ke tahap petualangan seterusnya.
  - **Pintu Larian**: Keluar dari dungeon dan menyerah apa-apa ganjaran **Token** yang belum diselesaikan.
  - **Pintu Penyelesaian**: Menyelesaikan dan mengumpul ganjaran **Token** pada nisbah tertentu.
",174,Arena Lanjutan," Apabila anda mati, terdapat peluang untuk menjatuhkan item dalam beg anda.
",0;0,"0,0","661,1","8,24",
1,0,22001,0,"2,4",DungeonSceneLoading_7_9.jpg,,1,5,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","## Ganjaran
- **Mengalahkan Raksasa atau Mengumpul**: Pemain akan menerima ganjaran **Token** yang dilaburkan oleh totem.
- **Menghapuskan Pemain Lain**: Pemain boleh menuntut ganjaran **LUASUD** yang belum diselesaikan daripada musuh yang dikalahkan.
- **Mengalahkan Bos**: Pemain boleh mendapatkan **bahan-bahan istimewa yang misteri** yang penting untuk kemajuan permainan.
## Gambaran Peraturan
- **Struktur Tahap**: Dungeon terdiri daripada **3 tahap yang kacau**, setiap satu menawarkan cabaran tersendiri.
- **Kawasan Selamat**: Terdapat **kawasan selamat** dalam tahap-tahap tersebut, yang akan **mengecil dari masa ke semasa**, memaksa pemain berhadapan.
- **Tiga Jenis Pintu**:
  - **Pintu Cabaran**: Untuk yang berani, pintu ini membawa ke tahap petualangan seterusnya.
  - **Pintu Larian**: Keluar dari dungeon dan menyerah apa-apa ganjaran **Token** yang belum diselesaikan.
  - **Pintu Penyelesaian**: Menyelesaikan dan mengumpul ganjaran **Token** pada nisbah tertentu.
",172,Arena Solo Junior," Apabila anda mati, terdapat peluang untuk menjatuhkan item dalam beg anda.
",0;0,"0,0","659,1","3,24",
