boothFees-int[][],canDropScene-int[],canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,onChainDelay-int,quality-int[],resourceInstructions-int[],sellable-bool,subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int
"792,1","1,3,4",1,"Someone once saw this material by the seaside.
It can be used to craft equipment or items.
-------
This green slime is a rare raw material that can be used to make various combat equipment. It has extremely strong adhesion and can bond with a variety of materials.",0,item-icon-30,30, Yeşil Sümüklüböcek,0,1,6,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1,"Someone once saw this material by the seaside.
It can be used to craft equipment or items.
-------
Pumpkin vines are a raw material that can be used to make weapons and armor. They have a tough texture and excellent toughness, providing reliable protection and attack power in combat.",0,item-icon-31,31, Kabak Sarmaşıkları,0,1,5,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1,"Someone once saw this material by the seaside.
It can be used to craft equipment or items.
-------
This type of wire mesh is a raw material used for combat, which can be used to manufacture defensive structures or equipment with high strength and durability.",0,item-icon-32,32, Tel Örgü,0,1,4,1,0,2,"1,0",1,4,1,1
"793,1","1,3,4",1,"Someone once saw this material in the desert.
It can be used to craft equipment or items.
-------
Cat Fangs from the mines are a sharp raw material that can be used to make weapons and armor. They come from feline animals that live in the mines and possess strong combat abilities and agility.",0,item-icon-33,33, Maden Kedisi Keskin Diş,0,1,7,1,0,2,2,1,4,2,1
"793,1","1,3,4",1,"Someone once saw this material on the grasslands.
It can be used to craft equipment or items.
-------
This lightweight film is a raw material used for combat and can be used to manufacture various defensive equipment and weapons.",0,item-icon-34,34, Hafif İnce Film,0,1,8,1,0,2,2,1,4,2,1
"793,1","1,3,4",1,"Someone once saw this material in the canyon.
It can be used to craft equipment or items.
-------
The Grass Demon Crown is a second-level combat material made from the head of Grass Demons and possesses powerful combat abilities.",0,item-icon-35,35, Çimen Şeytan Tacı,0,1,9,1,0,2,2,1,4,2,1
"794,1","1,3,4",1,"Someone once saw this material in the Black Forest.
It can be used to craft equipment or items.
-------
This hook claw is made of hard metal, very sharp, suitable for use in battle. Its shape is slender, and it can easily penetrate the enemy's defense.",0,item-icon-36,36, İnce Kanca Pençe,0,1,10,1,0,2,3,1,4,3,1
"794,1","1,3,4",1,"Someone once saw this material in the Red Forest.
It can be used to craft equipment or items.
-------
Red fur is a high-end fur with excellent defensive performance, suitable for making combat equipment. It is a rare raw material with high collection difficulty.",0,item-icon-37,37, Kızıl Kürk,0,1,11,1,0,2,3,1,4,3,1
"794,1","1,3,4",1,"Someone once saw this material on the Snow Mountain.
It can be used to craft equipment or items.
-------
This is a rare raw material that can be obtained in battles. It has an appearance like ice and snow, with a furry texture that makes people want to touch it.",0,item-icon-38,38, Buz Kar Tüyü,0,1,12,1,0,2,3,1,4,3,1
"792,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A sharp and sturdy weapon crafted from solid stone, perfect for close combat. Its weight and balance make it easy to wield, delivering powerful strikes with precision.",0,item-icon-40,40, Taş Kılıç,1,1,264,1,0,2,999,0,1,1,1
"793,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A sharp and sturdy weapon forged from iron, capable of slicing through enemies with ease. Its weight provides a satisfying heft, allowing for powerful strikes that leave opponents reeling.",0,item-icon-41,41, Demir Kılıç,1440,"1,2",271,1,0,2,999,0,1,2,1
"794,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A powerful weapon forged from pure crystal, capable of slicing through enemies with ease. Its shimmering blade reflects light, dazzling opponents and striking fear into their hearts. With each swing, the Crystal Sword unleashes a deadly combination of speed and precision.",0,item-icon-42,42, Kristal Kılıç,1440,"1,2,3",280,1,0,2,999,0,1,3,1
"792,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A sturdy wooden weapon crafted for swift and precise strikes, perfect for beginners honing their combat skills. Its lightweight design allows for agile movements, making it an ideal choice for those seeking a versatile and reliable weapon.",0,item-icon-39,39, Ahşap Kılıç,1440,1,256,0,0,2,999,0,1,0,1
"792,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A stylish accessory that adds a touch of elegance to any outfit. Crafted with intricate details, this ring exudes sophistication and charm. Its unique design is sure to catch the eye of fellow fashion enthusiasts.",0,item-icon-43,43, Çip Başlı Yüzük,1440,1,257,1,0,2,999,0,1,1,1
"793,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
This hat is made of a unique material that feels incredibly soft against your skin. It provides a luxurious and comfortable fit, making it perfect for long gaming sessions.",0,item-icon-44,44, Kristal Deri Yumuşak Şapka,1440,"1,2",269,1,0,2,999,0,1,2,1
"794,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A sturdy helmet crafted from shimmering crystals, providing exceptional protection without compromising agility. Its enchanting glow grants the wearer enhanced vision in dark dungeons.",0,item-icon-45,45, Kristal Taş Kask,1440,"1,2,3",278,1,0,2,999,0,1,3,1
