canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],name-string,punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],seedMaxLimit-int[],uniqueSeed-int[]
0,0,10001,0,"0,999",HomeSceneLoading.jpg,"4000,4000,4000,4000,4000,4000,4000,4000,4000,4000",0,0,0,WorldScene,1,1,0,1850,,,,,,,,,,,,"Trống
",,"Trống
","Trống
",,,,,,
0,0,10002,0,"0,999",HomeSceneLoading.jpg,,0,0,0,HomeScene,1,2,0,10000,3,,,,,,,,,,,"Trống
",,"Trống
","Trống
",,,,,,
0,0,10003,0,"0,999",HomeSceneLoading.jpg,,0,0,0,WorldScene02,1,1,0,10000,,,,,,,,,,,,Trống,,Trống,"Trống
",,,,,,
0,160,20000,1,"1,3",DungeonSceneLoading_1_3.jpg,,100,0,5,DungeonSceneLv1-3,1,3,2,10000,1,"10000,20000,30000","55,0,54",2,"58,59,60","16,17;16,17;16,17","61,62,63","30,80,160","3500,13500;3500,13500;3500,13500","120,190,400","Chapter 1/3,Chapter 2/3,Chapter 3/3","Nằm trong tán lá xanh của rừng rậm, nó giống như một phép màu trên trái đất. Đỉnh đá của nó giống như một hàng lưỡi kiếm sắc nhọn, nhưng cũng giống như những cánh hoa.
",185,"Đỉnh hoa
","Khi bạn chết, có một khả năng rơi ra các vật phẩm trong balo của bạn.
",0;0;0,"0,1440","468,1",,,
0,40,20001,1,"4,6",DungeonSceneLoading_4_6.jpg,,100,0,5,DungeonSceneLv4-6,1,3,2,10000,1,"10000,20000,30000","37,39,38",2,"52,53,54","16,17;16,17;16,17","47,48,49","320,640,1280","3500,13500;3500,13500;3500,13500","470,500,770","Chapter 1/3,Chapter 2/3,Chapter 3/3","Trong vùng đất tan vỡ đó, một thành trì tối tăm đứng tự hào, các cạnh của nó treo giữa không gian, không có bất kỳ sự hỗ trợ vật lý nào. Nó chứa đầy một số lượng lớn quái vật nguy hiểm, trồng nhiều vật phẩm hiếm chưa từng thấy trước đây.",186,Thế giới động lực,"Khi bạn chết, có một khả năng rơi ra các vật phẩm trong balo của bạn.
",0;0;0,"0,1440","467,1",,,
0,10,20002,1,"7,9",DungeonSceneLoading_7_9.jpg,,100,0,5,DungeonSCeneLv7-9,1,3,2,10000,1,"10000,20000,30000","61,71,66",2,"82,83,84","16,17;16,17;16,17","85,86,87","2560,5120,10240","3500,13500;3500,13500;3500,13500","470,500,760","Chapter 1/3,Chapter 2/3,Chapter 3/3","Chiến đấu với những sinh vật đỏ lửa; chiến đấu trong môi trường tối tăm và đáng sợ, phòng thủ chống lại những sinh vật hư không; khám phá những di tích cổ để khám phá bí mật và kho báu ẩn sâu trong lòng đất. Những nhà thám hiểm dũng cảm, bạn đã sẵn sàng đối mặt với thách thức này chưa?
",187,"Vùng cổ xưa
","Khi bạn chết, có một khả năng rơi ra các vật phẩm trong balo của bạn.
",0;0;0,"0,1440","658,1",,,
1,0,21001,0,"2,4",DungeonSceneLoading_7_9.jpg,,0,1,5,PVPDungeonSceneLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","##  Phần thưởng
- **Đánh bại Quái vật hoặc Thu thập**: Người chơi sẽ nhận được phần thưởng **Token** được đầu tư bởi các tượng thần.
- **Tiêu diệt Người chơi khác**: Người chơi có thể nhận phần thưởng chưa được giải quyết **LUASUD** của những đối thủ bị đánh bại.
- **Đánh bại Boss**: Người chơi có thể thu được **vật liệu đặc biệt bí ẩn** quan trọng cho tiến trình trò chơi.
##  Tổng quan quy tắc
- **Cấu trúc cấp độ**: Hang động bao gồm **3 cấp độ hỗn loạn**, mỗi cấp độ đều mang đến những thách thức riêng của nó.
- **Khu vực an toàn**: Có **khu vực an toàn** trong các cấp độ, sẽ **co lại theo thời gian**, buộc người chơi phải đối đầu.
- **Ba loại Cổng**:
  - **Cổng Thách thức**: Dành cho những người dũng cảm, cổng này dẫn đến cấp độ phiêu lưu tiếp theo.
  - **Cổng Thoát**: Thoát khỏi hang động và từ bỏ bất kỳ phần thưởng chưa được giải quyết **Token**.
  - **Cổng Định cư**: Định cư và thu thập phần thưởng **Token** theo tỷ lệ nhất định. 
",172,"Đấu trường hạng nhẹ
","Khi bạn chết, có một khả năng rơi ra các vật phẩm trong balo của bạn.
",0;0,"0,0","659,1","8,24",,
1,0,21002,0,"5,7",PVPDungeonSceneLoading_4_6.jpg,,0,1,5,PVPDungeonSceneLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","##  Phần thưởng
- **Đánh bại Quái vật hoặc Thu thập**: Người chơi sẽ nhận được phần thưởng **Token** được đầu tư bởi các tượng thần.
- **Tiêu diệt Người chơi khác**: Người chơi có thể nhận phần thưởng chưa được giải quyết **LUASUD** của những đối thủ bị đánh bại.
- **Đánh bại Boss**: Người chơi có thể thu được **vật liệu đặc biệt bí ẩn** quan trọng cho tiến trình trò chơi.
##  Tổng quan quy tắc
- **Cấu trúc cấp độ**: Hang động bao gồm **3 cấp độ hỗn loạn**, mỗi cấp độ đều mang đến những thách thức riêng của nó.
- **Khu vực an toàn**: Có **khu vực an toàn** trong các cấp độ, sẽ **co lại theo thời gian**, buộc người chơi phải đối đầu.
- **Ba loại Cổng**:
  - **Cổng Thách thức**: Dành cho những người dũng cảm, cổng này dẫn đến cấp độ phiêu lưu tiếp theo.
  - **Cổng Thoát**: Thoát khỏi hang động và từ bỏ bất kỳ phần thưởng chưa được giải quyết **Token**.
  - **Cổng Định cư**: Định cư và thu thập phần thưởng **Token** theo tỷ lệ nhất định. 
",173,"Đấu trường hạng trung
","Khi bạn chết, có một khả năng rơi ra các vật phẩm trong balo của bạn.
",0;0,"0,0","660,1","8,24",,
1,0,21003,0,"8,9",PVPDungeonSceneLoading_4_6.jpg,,0,1,5,PVPDungeonSceneLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","##  Phần thưởng
- **Đánh bại Quái vật hoặc Thu thập**: Người chơi sẽ nhận được phần thưởng **Token** được đầu tư bởi các tượng thần.
- **Tiêu diệt Người chơi khác**: Người chơi có thể nhận phần thưởng chưa được giải quyết **LUASUD** của những đối thủ bị đánh bại.
- **Đánh bại Boss**: Người chơi có thể thu được **vật liệu đặc biệt bí ẩn** quan trọng cho tiến trình trò chơi.
##  Tổng quan quy tắc
- **Cấu trúc cấp độ**: Hang động bao gồm **3 cấp độ hỗn loạn**, mỗi cấp độ đều mang đến những thách thức riêng của nó.
- **Khu vực an toàn**: Có **khu vực an toàn** trong các cấp độ, sẽ **co lại theo thời gian**, buộc người chơi phải đối đầu.
- **Ba loại Cổng**:
  - **Cổng Thách thức**: Dành cho những người dũng cảm, cổng này dẫn đến cấp độ phiêu lưu tiếp theo.
  - **Cổng Thoát**: Thoát khỏi hang động và từ bỏ bất kỳ phần thưởng chưa được giải quyết **Token**.
  - **Cổng Định cư**: Định cư và thu thập phần thưởng **Token** theo tỷ lệ nhất định. 
",174,"Đấu trường hạng cao
","Khi bạn chết, có một khả năng rơi ra các vật phẩm trong balo của bạn.
",0;0,"0,0","661,1","8,24",,
1,0,22001,0,"2,4",DungeonSceneLoading_7_9.jpg,,0,1,5,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","##  Phần thưởng
- **Đánh bại Quái vật hoặc Thu thập**: Người chơi sẽ nhận được phần thưởng **Token** được đầu tư bởi các tượng thần.
- **Tiêu diệt Người chơi khác**: Người chơi có thể nhận phần thưởng chưa được giải quyết **LUASUD** của những đối thủ bị đánh bại.
- **Đánh bại Boss**: Người chơi có thể thu được **vật liệu đặc biệt bí ẩn** quan trọng cho tiến trình trò chơi.
##  Tổng quan quy tắc
- **Cấu trúc cấp độ**: Hang động bao gồm **3 cấp độ hỗn loạn**, mỗi cấp độ đều mang đến những thách thức riêng của nó.
- **Khu vực an toàn**: Có **khu vực an toàn** trong các cấp độ, sẽ **co lại theo thời gian**, buộc người chơi phải đối đầu.
- **Ba loại Cổng**:
  - **Cổng Thách thức**: Dành cho những người dũng cảm, cổng này dẫn đến cấp độ phiêu lưu tiếp theo.
  - **Cổng Thoát**: Thoát khỏi hang động và từ bỏ bất kỳ phần thưởng chưa được giải quyết **Token**.
  - **Cổng Định cư**: Định cư và thu thập phần thưởng **Token** theo tỷ lệ nhất định. 
",172,"Đấu trường đơn hạng nhẹ
","Khi bạn chết, có một khả năng rơi ra các vật phẩm trong balo của bạn.
",0;0,"0,0","659,1","3,24",,
